cluster_id,narrative_label,discourse_category_id,discourse_category_label,n_comments,top_terms,representative_comments,top_profiles,sentiment_positive_pct,sentiment_negative_pct,sentiment_neutral_pct,mean_polarity,polarization_index
0,narrativa_0,,,32,falta; alguien; mierda; verga; falta alguien; vez; cumplir; mensaje; vuelve; verdades; verdad; esten,"Mierda muchachos asia falta alguien que nos aconseje grasias así prendemos ASER verga 😔😔😓😢 || Estodo carnal ya hacía falta alguien que les diga sus verdades a estas morras de ahora que se creen la última agua del desierto || 😂😂😂😂 Qué mierda acabo de leer jejej generación de cristal el hombre que actúa así, sea hombre o mujer es falta de atención, nadie es más que nadie en una relación simplemente es 50/50",; focusmode.1; sorvyon; sigue_al_conejo_b,21.9,34.4,43.8,-0.148,0.562
1,narrativa_1,,,15,gusta; sonreir; dejas; pague; temach; amo; verga; respondi; vea; venga; conmigo; manana,Me gusta cuando me lo mandes a mi también || Me gusta mucho la verdad que si no me gusta que sean conmigo || Para estar en Chile con una mujer ella manda y sino te gusta eso estas condenado a quedarte solo 🔥🔥🔥🔥 . Y como no me gusta mandar ni que me manden ;  mejor solo,; sorvyon,73.3,6.7,20.0,0.635,0.8
2,narrativa_2,,,44,denuncias; falsas; denuncias falsas; falsas denuncias; leyes; mujer; segun; hijo; ley; feministas; denuncias reales; abogados,"Cuando dicen archivadas es que eran denuncias falsas pero estas no contaran como tal y hay miles de denuncias así.. || Hay denuncias falsas de padres hacia madres tambien..no es x.condicion de sexo sino x calidad humana las falsas denuncias ..ojo no siempre es la mujer || Vergonzosas las denuncias falsas, no se por qué no están penadas incluso con cárcel. Una vergüenza más de nuestras leyes.",; relatos_de_un_maltratador,27.3,22.7,50.0,-0.02,0.5
3,narrativa_3,,,20,dinero; soltero; auto; darle; hombre; mejor; hombre bueno; llevo; den; lastima; bueno; morra,"Le di todo .. se llevó auto y dinero! 2 años soltero y es lo mejor!! || Qué lastima del dinero gastado || Po que le den el cinturón de campeona y el dinero a ella, no?",; andersonfabian.henaomantilla.7; sorvyon; focusmode.1,20.0,20.0,60.0,0.006,0.4
4,narrativa_4,,,37,dia; feliz; feliz dia; dia hombre; hoy dia; hoy; hombre; amor; jona; algun dia; gran; dia hombres,Feliz dia del Hombre querido amigo 😍😍😍😍😍🙌 || Feliz día del hombre amigo querido Jona ❤️ || Feliz no creía que existía éste día 👏👏👏👏👏🍻🍻🍻🍻,; andersonfabian.henaomantilla.7; hombresinocentes,59.5,8.1,32.4,0.511,0.676
5,narrativa_5,,,50,hecho; saben; luego; pues; sabe; presidente; hermano; dano; mujeres; mujeres saben; mujer; persona,"Vergonzoso. Pero esto está hecho q conciencia. Es muy goloso sacar titulares contra el hermano del presidente y de la mujer. Saben que es falso, pero vende, y luego pues nada , pero el daño está hecho || Hermosaaaa cuñiss. Pónganse bonita para ustedes ya lo saben🔥💪🏻🫶🏻Loveu🫂 || Hay mujeres que no saben ser madres",; temachero_10; sorvyon; andersonfabian.henaomantilla.7; eltemach_1325,22.0,24.0,54.0,-0.043,0.46
6,narrativa_6,,,60,hombre; mejor; haces; vida; menos; bueno; calle; quiero; dia; jamas; ningun hombre; regla,"La mejor regla es tratarlas como lo haces con cualquier hombre. Ni más ni menos. || O mejor no seas nada,  si te están observando como a un ratoncito de laboratorio nada bueno resultará.  Evitativos a terapia || Te quiero mucho MasculinismoMx, me inspiras a ser un mejor hombre día con día 💞",; andersonfabian.henaomantilla.7; leccionesparacaballeros2024; sorvyon; carlosivancb19,26.7,26.7,46.7,0.01,0.533
7,narrativa_7,,,89,anos; tengo; favor; mal; pueden; veces; muchas; seguir; problemas; tener; mujer; pues,"42 años con problemas de libido?, que mal que estamos por favor, 51 años tengo yo y muchas veces no me pueden seguir el ritmo 😂😂😂 || Tengo 46 años y pues tengo un rato con este tema muy frío y cada vez más 😢 || Tengo una hija con 24 años y no sé nada de ella desde que cumplió 13 . Su mamá hizo un gran trabajo",; sorvyon; focusmode.1; andersonfabian.henaomantilla.7; carlosivancb19,38.2,25.8,36.0,0.112,0.64
8,narrativa_8,,,55,mujer; hombre; decir; gran; mujer hombre; hombre mujer; categoria; hermosa; bella; sentido; pies; menos,Quién es esta mujer??? Otra paracaidista???🤦🤦🤦 || Cómo sería una mujer honorable 🤔 || Ser hombre es ejercer todos los derechos y ser mujer es dejarte violentar???,; temachero_10; andersonfabian.henaomantilla.7; adiazinfanted; hombresinocentes,25.5,25.5,49.1,-0.008,0.509
9,narrativa_9,,,30,debe; problema; hdp; tipo; fiscales; creo; relaciones; justicia; preso; hombres; cumplir; respaldan,"El problema principal es los fiscales que largan a estas lacras el foco debe arrancar ahí,el que largo a este hdp debe ir preso. || La justicia se debe cumplir para todos por igual!!! 💙 || El que no miente no debe temer.",; hombresinocentes; andersonfabian.henaomantilla.7,30.0,26.7,43.3,0.008,0.567
