source,target,edge_type,weight
hashtag:antifeminismo,hashtag:feminazi,hashtag_cooccurrence,3
hashtag:antifeminismo,hashtag:ideologiadegenero,hashtag_cooccurrence,11
hashtag:antifeminismo,hashtag:mangina,hashtag_cooccurrence,1
hashtag:antifeminismo,hashtag:progres,hashtag_cooccurrence,3
hashtag:feminazi,hashtag:ideologiadegenero,hashtag_cooccurrence,1
hashtag:feminazi,hashtag:mangina,hashtag_cooccurrence,1
hashtag:feminazi,hashtag:progres,hashtag_cooccurrence,1
hashtag:ideologiadegenero,hashtag:mangina,hashtag_cooccurrence,1
hashtag:ideologiadegenero,hashtag:progres,hashtag_cooccurrence,3
hashtag:mangina,hashtag:progres,hashtag_cooccurrence,1
hashtag:antifeminismo,hashtag:explorarcrist,hashtag_cooccurrence,1
hashtag:antifeminismo,hashtag:fyp,hashtag_cooccurrence,4
hashtag:antifeminismo,hashtag:fypppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp,hashtag_cooccurrence,3
hashtag:antifeminismo,hashtag:nossasenhora,hashtag_cooccurrence,1
hashtag:explorarcrist,hashtag:fyp,hashtag_cooccurrence,1
hashtag:explorarcrist,hashtag:fypppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp,hashtag_cooccurrence,1
hashtag:explorarcrist,hashtag:nossasenhora,hashtag_cooccurrence,1
hashtag:fyp,hashtag:fypppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp,hashtag_cooccurrence,1
hashtag:fyp,hashtag:nossasenhora,hashtag_cooccurrence,1
hashtag:fypppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp,hashtag:nossasenhora,hashtag_cooccurrence,1
hashtag:antifeminismo,hashtag:derechosdelasmujeres,hashtag_cooccurrence,1
hashtag:antifeminismo,hashtag:diversa,hashtag_cooccurrence,1
hashtag:antifeminismo,hashtag:feminismo,hashtag_cooccurrence,39
hashtag:antifeminismo,hashtag:feminismojoven,hashtag_cooccurrence,1
hashtag:antifeminismo,hashtag:generaci,hashtag_cooccurrence,1
hashtag:antifeminismo,hashtag:girlbossfeminism,hashtag_cooccurrence,1
hashtag:antifeminismo,hashtag:igualdaddeg,hashtag_cooccurrence,2
hashtag:antifeminismo,hashtag:juventud,hashtag_cooccurrence,1
hashtag:antifeminismo,hashtag:perspectivadeg,hashtag_cooccurrence,1
hashtag:derechosdelasmujeres,hashtag:diversa,hashtag_cooccurrence,1
hashtag:derechosdelasmujeres,hashtag:feminismo,hashtag_cooccurrence,4
hashtag:derechosdelasmujeres,hashtag:feminismojoven,hashtag_cooccurrence,1
hashtag:derechosdelasmujeres,hashtag:generaci,hashtag_cooccurrence,1
hashtag:derechosdelasmujeres,hashtag:girlbossfeminism,hashtag_cooccurrence,1
hashtag:derechosdelasmujeres,hashtag:igualdaddeg,hashtag_cooccurrence,1
hashtag:derechosdelasmujeres,hashtag:juventud,hashtag_cooccurrence,1
hashtag:derechosdelasmujeres,hashtag:perspectivadeg,hashtag_cooccurrence,2
hashtag:diversa,hashtag:feminismo,hashtag_cooccurrence,1
hashtag:diversa,hashtag:feminismojoven,hashtag_cooccurrence,1
hashtag:diversa,hashtag:generaci,hashtag_cooccurrence,1
hashtag:diversa,hashtag:girlbossfeminism,hashtag_cooccurrence,1
hashtag:diversa,hashtag:igualdaddeg,hashtag_cooccurrence,1
hashtag:diversa,hashtag:juventud,hashtag_cooccurrence,1
hashtag:diversa,hashtag:perspectivadeg,hashtag_cooccurrence,1
hashtag:feminismo,hashtag:feminismojoven,hashtag_cooccurrence,1
hashtag:feminismo,hashtag:generaci,hashtag_cooccurrence,1
hashtag:feminismo,hashtag:girlbossfeminism,hashtag_cooccurrence,1
hashtag:feminismo,hashtag:igualdaddeg,hashtag_cooccurrence,4
hashtag:feminismo,hashtag:juventud,hashtag_cooccurrence,1
hashtag:feminismo,hashtag:perspectivadeg,hashtag_cooccurrence,3
hashtag:feminismojoven,hashtag:generaci,hashtag_cooccurrence,1
hashtag:feminismojoven,hashtag:girlbossfeminism,hashtag_cooccurrence,1
hashtag:feminismojoven,hashtag:igualdaddeg,hashtag_cooccurrence,1
hashtag:feminismojoven,hashtag:juventud,hashtag_cooccurrence,1
hashtag:feminismojoven,hashtag:perspectivadeg,hashtag_cooccurrence,1
hashtag:generaci,hashtag:girlbossfeminism,hashtag_cooccurrence,1
hashtag:generaci,hashtag:igualdaddeg,hashtag_cooccurrence,1
hashtag:generaci,hashtag:juventud,hashtag_cooccurrence,1
hashtag:generaci,hashtag:perspectivadeg,hashtag_cooccurrence,1
hashtag:girlbossfeminism,hashtag:igualdaddeg,hashtag_cooccurrence,1
hashtag:girlbossfeminism,hashtag:juventud,hashtag_cooccurrence,1
hashtag:girlbossfeminism,hashtag:perspectivadeg,hashtag_cooccurrence,1
hashtag:igualdaddeg,hashtag:juventud,hashtag_cooccurrence,1
hashtag:igualdaddeg,hashtag:perspectivadeg,hashtag_cooccurrence,1
hashtag:juventud,hashtag:perspectivadeg,hashtag_cooccurrence,1
hashtag:antifeminismo,hashtag:antilgbt,hashtag_cooccurrence,1
hashtag:antifeminismo,hashtag:lgbtpride,hashtag_cooccurrence,1
hashtag:antifeminismo,hashtag:memesespa,hashtag_cooccurrence,1
hashtag:antifeminismo,hashtag:memeslgbt,hashtag_cooccurrence,1
hashtag:antilgbt,hashtag:lgbtpride,hashtag_cooccurrence,1
hashtag:antilgbt,hashtag:memesespa,hashtag_cooccurrence,1
hashtag:antilgbt,hashtag:memeslgbt,hashtag_cooccurrence,1
hashtag:lgbtpride,hashtag:memesespa,hashtag_cooccurrence,1
hashtag:lgbtpride,hashtag:memeslgbt,hashtag_cooccurrence,1
hashtag:memesespa,hashtag:memeslgbt,hashtag_cooccurrence,1
hashtag:antifeminismo,hashtag:globalismo,hashtag_cooccurrence,2
hashtag:antifeminismo,hashtag:sionismo,hashtag_cooccurrence,1
hashtag:antifeminismo,hashtag:woke,hashtag_cooccurrence,1
hashtag:globalismo,hashtag:ideologiadegenero,hashtag_cooccurrence,2
hashtag:globalismo,hashtag:sionismo,hashtag_cooccurrence,1
hashtag:globalismo,hashtag:woke,hashtag_cooccurrence,1
hashtag:ideologiadegenero,hashtag:sionismo,hashtag_cooccurrence,1
hashtag:ideologiadegenero,hashtag:woke,hashtag_cooccurrence,1
hashtag:sionismo,hashtag:woke,hashtag_cooccurrence,1
hashtag:antifeminismo,hashtag:democracia,hashtag_cooccurrence,1
hashtag:antifeminismo,hashtag:m,hashtag_cooccurrence,2
hashtag:antifeminismo,hashtag:mujeresenpol,hashtag_cooccurrence,1
hashtag:democracia,hashtag:m,hashtag_cooccurrence,1
hashtag:democracia,hashtag:mujeresenpol,hashtag_cooccurrence,1
hashtag:m,hashtag:mujeresenpol,hashtag_cooccurrence,1
hashtag:antifeminismo,hashtag:machismo,hashtag_cooccurrence,4
hashtag:feminismo,hashtag:machismo,hashtag_cooccurrence,9
hashtag:antifeminismo,hashtag:epstein,hashtag_cooccurrence,1
hashtag:antifeminismo,hashtag:goyslop,hashtag_cooccurrence,1
hashtag:antifeminismo,hashtag:multiculturalismo,hashtag_cooccurrence,1
hashtag:epstein,hashtag:goyslop,hashtag_cooccurrence,1
hashtag:epstein,hashtag:ideologiadegenero,hashtag_cooccurrence,1
hashtag:epstein,hashtag:multiculturalismo,hashtag_cooccurrence,1
hashtag:goyslop,hashtag:ideologiadegenero,hashtag_cooccurrence,1
hashtag:goyslop,hashtag:multiculturalismo,hashtag_cooccurrence,1
hashtag:ideologiadegenero,hashtag:multiculturalismo,hashtag_cooccurrence,1
hashtag:antifeminismo,hashtag:redpill,hashtag_cooccurrence,13
hashtag:globalismo,hashtag:progres,hashtag_cooccurrence,1
hashtag:globalismo,hashtag:redpill,hashtag_cooccurrence,1
hashtag:ideologiadegenero,hashtag:redpill,hashtag_cooccurrence,3
hashtag:progres,hashtag:redpill,hashtag_cooccurrence,1
hashtag:antifeminismo,hashtag:custodiacompartida,hashtag_cooccurrence,7
hashtag:antifeminismo,hashtag:feminazis,hashtag_cooccurrence,2
hashtag:custodiacompartida,hashtag:feminazis,hashtag_cooccurrence,1
hashtag:custodiacompartida,hashtag:ideologiadegenero,hashtag_cooccurrence,5
hashtag:custodiacompartida,hashtag:progres,hashtag_cooccurrence,1
hashtag:feminazis,hashtag:ideologiadegenero,hashtag_cooccurrence,2
hashtag:feminazis,hashtag:progres,hashtag_cooccurrence,1
hashtag:aliade,hashtag:antifeminismo,hashtag_cooccurrence,1
hashtag:aliade,hashtag:antifeminista,hashtag_cooccurrence,1
hashtag:aliade,hashtag:custodiacompartida,hashtag_cooccurrence,1
hashtag:aliade,hashtag:ideologiadegenero,hashtag_cooccurrence,1
hashtag:antifeminismo,hashtag:antifeminista,hashtag_cooccurrence,9
hashtag:antifeminista,hashtag:custodiacompartida,hashtag_cooccurrence,4
hashtag:antifeminista,hashtag:ideologiadegenero,hashtag_cooccurrence,4
hashtag:antifeminismo,hashtag:sigma,hashtag_cooccurrence,1
hashtag:custodiacompartida,hashtag:redpill,hashtag_cooccurrence,4
hashtag:custodiacompartida,hashtag:sigma,hashtag_cooccurrence,1
hashtag:ideologiadegenero,hashtag:sigma,hashtag_cooccurrence,1
hashtag:redpill,hashtag:sigma,hashtag_cooccurrence,2
hashtag:antifeminismo,hashtag:coreiadosul,hashtag_cooccurrence,1
hashtag:antifeminismo,hashtag:crisedamasculinidade,hashtag_cooccurrence,1
hashtag:antifeminismo,hashtag:gera,hashtag_cooccurrence,1
hashtag:antifeminismo,hashtag:guerracultural,hashtag_cooccurrence,1
hashtag:antifeminismo,hashtag:jovensantifeministas,hashtag_cooccurrence,1
hashtag:antifeminismo,hashtag:masculinidade,hashtag_cooccurrence,3
hashtag:antifeminismo,hashtag:movimento4b,hashtag_cooccurrence,1
hashtag:antifeminismo,hashtag:precariedade,hashtag_cooccurrence,1
hashtag:coreiadosul,hashtag:crisedamasculinidade,hashtag_cooccurrence,1
hashtag:coreiadosul,hashtag:gera,hashtag_cooccurrence,1
hashtag:coreiadosul,hashtag:guerracultural,hashtag_cooccurrence,1
hashtag:coreiadosul,hashtag:jovensantifeministas,hashtag_cooccurrence,1
hashtag:coreiadosul,hashtag:masculinidade,hashtag_cooccurrence,1
hashtag:coreiadosul,hashtag:movimento4b,hashtag_cooccurrence,1
hashtag:coreiadosul,hashtag:precariedade,hashtag_cooccurrence,1
hashtag:crisedamasculinidade,hashtag:gera,hashtag_cooccurrence,1
hashtag:crisedamasculinidade,hashtag:guerracultural,hashtag_cooccurrence,1
hashtag:crisedamasculinidade,hashtag:jovensantifeministas,hashtag_cooccurrence,1
hashtag:crisedamasculinidade,hashtag:masculinidade,hashtag_cooccurrence,1
hashtag:crisedamasculinidade,hashtag:movimento4b,hashtag_cooccurrence,1
hashtag:crisedamasculinidade,hashtag:precariedade,hashtag_cooccurrence,1
hashtag:gera,hashtag:guerracultural,hashtag_cooccurrence,1
hashtag:gera,hashtag:jovensantifeministas,hashtag_cooccurrence,1
hashtag:gera,hashtag:masculinidade,hashtag_cooccurrence,1
hashtag:gera,hashtag:movimento4b,hashtag_cooccurrence,1
hashtag:gera,hashtag:precariedade,hashtag_cooccurrence,1
hashtag:guerracultural,hashtag:jovensantifeministas,hashtag_cooccurrence,1
hashtag:guerracultural,hashtag:masculinidade,hashtag_cooccurrence,1
hashtag:guerracultural,hashtag:movimento4b,hashtag_cooccurrence,1
hashtag:guerracultural,hashtag:precariedade,hashtag_cooccurrence,1
hashtag:jovensantifeministas,hashtag:masculinidade,hashtag_cooccurrence,1
hashtag:jovensantifeministas,hashtag:movimento4b,hashtag_cooccurrence,1
hashtag:jovensantifeministas,hashtag:precariedade,hashtag_cooccurrence,1
hashtag:masculinidade,hashtag:movimento4b,hashtag_cooccurrence,1
hashtag:masculinidade,hashtag:precariedade,hashtag_cooccurrence,1
hashtag:movimento4b,hashtag:precariedade,hashtag_cooccurrence,1
hashtag:antifeminismo,hashtag:uberabamg,hashtag_cooccurrence,1
hashtag:antifeminismo,hashtag:derechos,hashtag_cooccurrence,1
hashtag:antifeminismo,hashtag:niunomas,hashtag_cooccurrence,1
hashtag:antifeminismo,hashtag:varones,hashtag_cooccurrence,1
hashtag:derechos,hashtag:niunomas,hashtag_cooccurrence,1
hashtag:derechos,hashtag:varones,hashtag_cooccurrence,1
hashtag:niunomas,hashtag:varones,hashtag_cooccurrence,1
hashtag:antifeminismo,hashtag:debatep,hashtag_cooccurrence,1
hashtag:antifeminismo,hashtag:redessociales,hashtag_cooccurrence,1
hashtag:debatep,hashtag:feminismo,hashtag_cooccurrence,1
hashtag:debatep,hashtag:igualdaddeg,hashtag_cooccurrence,1
hashtag:debatep,hashtag:redessociales,hashtag_cooccurrence,1
hashtag:feminismo,hashtag:redessociales,hashtag_cooccurrence,1
hashtag:igualdaddeg,hashtag:redessociales,hashtag_cooccurrence,1
hashtag:antifeminismo,hashtag:circovid,hashtag_cooccurrence,1
hashtag:antifeminismo,hashtag:plandemia,hashtag_cooccurrence,1
hashtag:antifeminismo,hashtag:vacunas,hashtag_cooccurrence,1
hashtag:antifeminista,hashtag:circovid,hashtag_cooccurrence,1
hashtag:antifeminista,hashtag:plandemia,hashtag_cooccurrence,1
hashtag:antifeminista,hashtag:vacunas,hashtag_cooccurrence,1
hashtag:circovid,hashtag:plandemia,hashtag_cooccurrence,1
hashtag:circovid,hashtag:vacunas,hashtag_cooccurrence,1
hashtag:plandemia,hashtag:vacunas,hashtag_cooccurrence,1
hashtag:antifeminismo,hashtag:conservadorismo,hashtag_cooccurrence,2
hashtag:antifeminismo,hashtag:direita,hashtag_cooccurrence,1
hashtag:antifeminismo,hashtag:mulherdevalor,hashtag_cooccurrence,1
hashtag:conservadorismo,hashtag:direita,hashtag_cooccurrence,1
hashtag:conservadorismo,hashtag:mulherdevalor,hashtag_cooccurrence,1
hashtag:direita,hashtag:mulherdevalor,hashtag_cooccurrence,1
hashtag:antifeminismo,hashtag:argentina,hashtag_cooccurrence,1
hashtag:antifeminismo,hashtag:contracultura,hashtag_cooccurrence,2
