source,target,edge_type,weight
user:karne_humana,narrative:narrativa_0,user_narrative,1.0
user:felipe.monjaraz,narrative:narrativa_0,user_narrative,1.0
user:10dbe1037372,narrative:narrativa_0,user_narrative,1.0
user:xavo.reinoso,narrative:narrativa_0,user_narrative,1.0
user:p.ahu.88,narrative:narrativa_0,user_narrative,1.0
user:steveleal2020,narrative:narrativa_0,user_narrative,1.0
user:maqa_gp,narrative:narrativa_0,user_narrative,1.0
user:alejandroskin78,narrative:narrativa_0,user_narrative,1.0
user:gabitomusic,narrative:narrativa_0,user_narrative,1.0
user:b.romga,narrative:narrativa_0,user_narrative,1.0
user:antoniobustillomusic,narrative:narrativa_0,user_narrative,1.0
user:paztita_,narrative:narrativa_0,user_narrative,1.0
user:anacristyna12_,narrative:narrativa_0,user_narrative,1.0
user:tana.yacey,narrative:narrativa_0,user_narrative,1.0
user:thecars69,narrative:narrativa_0,user_narrative,1.0
user:lozcar05,narrative:narrativa_0,user_narrative,1.0
user:veganeko910,narrative:narrativa_0,user_narrative,1.0
user:lamonroym,narrative:narrativa_0,user_narrative,1.0
user:gisabel.ig81,narrative:narrativa_0,user_narrative,1.0
user:bhappy_withmyself,narrative:narrativa_0,user_narrative,1.0
user:vanesaespina,narrative:narrativa_0,user_narrative,1.0
user:gaby_vallejos1980,narrative:narrativa_0,user_narrative,1.0
user:carlosmosquera678,narrative:narrativa_0,user_narrative,1.0
user:_freak2006_,narrative:narrativa_0,user_narrative,1.0
user:matimkchile_94,narrative:narrativa_0,user_narrative,1.0
user:dmendoza11,narrative:narrativa_0,user_narrative,1.0
user:inmag_c,narrative:narrativa_0,user_narrative,1.0
user:animadora.sociocultural_fsf,narrative:narrativa_0,user_narrative,1.0
user:gigioventurelli,narrative:narrativa_0,user_narrative,1.0
user:titilandiacristy,narrative:narrativa_0,user_narrative,1.0
user:llanortiz,narrative:narrativa_0,user_narrative,1.0
user:cano_talavera1,narrative:narrativa_0,user_narrative,1.0
profile:sorvyon,narrative:narrativa_0,profile_narrative,1.0
profile:focusmode.1,narrative:narrativa_0,profile_narrative,5.0
profile:sigue_al_conejo_b,narrative:narrativa_0,profile_narrative,1.0
user:piltri02,narrative:narrativa_1,user_narrative,1.0
user:electromaga.25,narrative:narrativa_1,user_narrative,1.0
user:p_tr.94,narrative:narrativa_1,user_narrative,1.0
user:allegramartinez07,narrative:narrativa_1,user_narrative,1.0
user:nico_masajes93,narrative:narrativa_1,user_narrative,1.0
user:fr4003787,narrative:narrativa_1,user_narrative,1.0
user:gabriel_hervaz,narrative:narrativa_1,user_narrative,1.0
user:aaronj.taylor,narrative:narrativa_1,user_narrative,1.0
user:pintojorgen,narrative:narrativa_1,user_narrative,1.0
user:lucaa_bny,narrative:narrativa_1,user_narrative,1.0
user:javier_navascues,narrative:narrativa_1,user_narrative,1.0
user:quiza.milton3,narrative:narrativa_1,user_narrative,1.0
user:gladysbeatrizcharles,narrative:narrativa_1,user_narrative,1.0
user:adafirah,narrative:narrativa_1,user_narrative,1.0
user:nikoo020127,narrative:narrativa_1,user_narrative,1.0
profile:sorvyon,narrative:narrativa_1,profile_narrative,1.0
user:gorgiocomunica5,narrative:narrativa_10,user_narrative,1.0
user:jotanarchy,narrative:narrativa_10,user_narrative,1.0
user:benjux__,narrative:narrativa_10,user_narrative,1.0
user:cofre.christian,narrative:narrativa_10,user_narrative,1.0
user:alemedina5341,narrative:narrativa_10,user_narrative,1.0
user:arturonavarrete1989,narrative:narrativa_10,user_narrative,1.0
user:haru_nyann21,narrative:narrativa_10,user_narrative,1.0
user:yars0891,narrative:narrativa_10,user_narrative,1.0
user:y00l00,narrative:narrativa_10,user_narrative,1.0
user:siempredisidente,narrative:narrativa_10,user_narrative,1.0
user:dominguez_tomashernan.art3,narrative:narrativa_10,user_narrative,1.0
user:chivopenquero386,narrative:narrativa_10,user_narrative,1.0
user:rodri_klopedia,narrative:narrativa_10,user_narrative,1.0
user:adrian_ortizz99,narrative:narrativa_10,user_narrative,1.0
user:diosasenmi,narrative:narrativa_10,user_narrative,1.0
user:markitus_fdu,narrative:narrativa_10,user_narrative,1.0
user:barrywhitelove,narrative:narrativa_10,user_narrative,1.0
user:elvisorta,narrative:narrativa_10,user_narrative,1.0
user:viviramoseco2020,narrative:narrativa_10,user_narrative,1.0
user:adrian_cadena_iron,narrative:narrativa_10,user_narrative,1.0
user:gonzat1675,narrative:narrativa_10,user_narrative,1.0
