source,target,edge_type,weight
user:leccionesparacaballeros2024,user:leccionesparacaballeros2024,mention_post,3
user:unseductordice,user:unseductordice,mention_post,2
user:focusmode.1,user:eltemach,mention_post,1
user:eltemach_1325,user:eltemach,mention_post,2
user:focusmode.1,user:el,mention_post,1
user:spain_can_do_better,user:no_sin_mi_hijo,mention_post,1
user:spain_can_do_better,user:spain_injustices,mention_post,1
user:fedeartegroso,user:d0,mention_comment,1
user:javier_navascues,user:seductor.experto69,mention_comment,1
user:everardito2590,user:nildachiaraviglio,mention_comment,1
user:tepublicamos40,user:gmail.com,mention_comment,2
user:b.romga,user:ed.andrade.l,mention_comment,1
user:superjuv.mx,user:masculinismomxoficial,mention_comment,1
user:vallenato_en_la_capital,user:im_didier,mention_comment,1
user:khtibetd17,user:mahaschekaiban,mention_comment,1
user:alejandrodaniellobato,user:mahaschekaiban,mention_comment,1
user:reading_withmary,user:altamarea_ediciones,mention_comment,1
user:fernandez.teresagonzalez,user:cendan.cesar,mention_comment,1
user:cristin.a.gomez1128,user:humanidad.oscura,mention_comment,1
user:unbuenchorbo,user:alber.keepkalm,mention_comment,1
user:pab_chonchito,user:unbuenchorbo,mention_comment,1
user:lidydafne,user:papa_deniko,mention_comment,1
user:fernandezzf.1,user:madresprotectorasdeespana,mention_comment,1
user:yamila_andriasevich,user:ue,mention_comment,1
user:alejandraaravenaav,user:papa_deniko,mention_comment,1
user:sagems14,user:feministas,mention_comment,1
user:javichi_ec,user:i_montero_,mention_comment,1
user:cano_talavera1,user:jabonesconesencia,mention_comment,1
user:fedeartegroso,user:joel981556,co_comment,2
user:carla_iuk211,user:mariaelisa9053,co_comment,2
user:mariaelisa9053,user:viktor.cavs,co_comment,2
user:fabimar125,user:memichmyself,co_comment,2
