graph_type,node,degree,in_degree,out_degree,betweenness,eigenvector,community
hashtags,hashtag:016,17.0,,,0.0,0.0037927760925267483,1
hashtags,hashtag:08demarzo,13.0,,,0.0,0.006524945572132704,1
hashtags,hashtag:100nightsofhero,4.0,,,0.0,0.0019667667962288394,3
hashtags,hashtag:100percentauthentic,17.0,,,0.0,4.262662288912499e-05,8
hashtags,hashtag:1189jona,23.0,,,0.0,0.006190230292524388,11
hashtags,hashtag:132,23.0,,,0.0,0.006190230292524389,11
hashtags,hashtag:132scale,23.0,,,0.0,0.006190230292524389,11
hashtags,hashtag:14y7elpodcast,4.0,,,0.0,0.0009056238312791107,0
hashtags,hashtag:15denoviembre,5.0,,,0.0,0.0008264981812978617,7
hashtags,hashtag:16d,5.0,,,0.0,0.005113350500232006,1
hashtags,hashtag:17dejunio,12.0,,,0.0,0.001459759038167514,4
hashtags,hashtag:1984georgeorwell,29.0,,,0.0,0.004103743162719225,7
hashtags,hashtag:19denoviembre,55.0,,,0.00010161609440637911,0.043197434776389446,1
hashtags,hashtag:19denoviembrediadelhombre,29.0,,,1.4253386586836302e-07,0.006712454774005588,11
hashtags,hashtag:19n,48.0,,,0.0001563839645080962,0.03063174660567805,1
hashtags,hashtag:19nov,76.0,,,0.0014579220072412984,0.05958394654596493,1
hashtags,hashtag:19nov2021,22.0,,,2.5944087906753534e-06,0.025124484108065004,1
hashtags,hashtag:19november,41.0,,,0.00010410773359075802,0.04001828413400074,1
hashtags,hashtag:19noviembre,41.0,,,0.00010410773359075802,0.04001828413400074,1
hashtags,hashtag:19oct,18.0,,,0.0,0.023152525853182615,1
hashtags,hashtag:2025,5.0,,,0.0,0.00043882413510848455,39
hashtags,hashtag:22n,19.0,,,0.0,0.005561757948636211,1
hashtags,hashtag:247,2.0,,,0.0,3.3375268509752726e-05,8
hashtags,hashtag:24deabril,4.0,,,0.0,0.0005254096737874539,1
hashtags,hashtag:25n,1.0,,,0.0,0.0009708232193681271,1
hashtags,hashtag:28s,29.0,,,0.0,0.019259517887252185,1
hashtags,hashtag:2x1,27.0,,,0.0,0.001773875977352313,6
hashtags,hashtag:3,0.0,,,0.0,2.101736988012748e-50,75
hashtags,hashtag:33leyes,3.0,,,0.0,0.00014127274427172375,0
hashtags,hashtag:3dmask,4.0,,,0.0,0.00259081400442417,2
hashtags,hashtag:3dprint,4.0,,,0.0,0.00259081400442417,2
hashtags,hashtag:3j,9.0,,,1.3915453711743958e-05,0.004631332647699875,3
hashtags,hashtag:4,0.0,,,0.0,2.101736988012748e-50,76
hashtags,hashtag:48leyesdelpoder,12.0,,,4.9921349863422906e-05,0.002722890211309558,0
hashtags,hashtag:4admi,4.0,,,0.0,0.0011799736943010548,5
hashtags,hashtag:4b,9.0,,,0.0,0.004433500534153567,3
hashtags,hashtag:72,12.0,,,0.0,0.00824661313547253,1
hashtags,hashtag:7diciembre,2.0,,,0.0,0.0013984310126703703,1
hashtags,hashtag:8demarzo2023,17.0,,,0.0,0.0037927760925267483,1
hashtags,hashtag:8m,79.0,,,0.003517386851818241,0.05023202886993401,1
hashtags,hashtag:8marzo,57.0,,,0.0013989334352663247,0.0470047674787719,1
hashtags,hashtag:9s,16.0,,,2.74137469472469e-06,0.0024729340321767808,1
hashtags,hashtag:9sdiainternacionaldelasfalsasdenuncias,23.0,,,0.0,0.0028668686243035085,1
hashtags,hashtag:9sep,21.0,,,0.0,0.025786262284153597,1
hashtags,hashtag:a,34.0,,,0.0004106926830477886,0.039403786791535056,1
hashtags,hashtag:abajoelpatriarcado,3.0,,,0.0,0.003971112108025176,1
hashtags,hashtag:abcdelamujeremprendedora,4.0,,,0.0,0.001758213262202191,0
hashtags,hashtag:abetterman,4.0,,,0.0,0.001382647266861868,2
hashtags,hashtag:abogac,7.0,,,0.0,0.0014690313509788274,4
hashtags,hashtag:abogada,3.0,,,0.0,0.001086264614498205,3
