node_id,node_type,label,comment_volume_on_posts,comment_count,cluster_id,discourse_category_id,discourse_category_label,n_comments,top_terms,post_count,sourced_posts
profile:masculinidad.ancestral,profile,masculinidad.ancestral,,,,,,,,,
profile:angelmatinez664tj,profile,angelmatinez664tj,,,,,,,,,
profile:creando_alfas,profile,creando_alfas,,,,,,,,,
profile:leccionesparacaballeros2024,profile,leccionesparacaballeros2024,1.0,,,,,,,,
profile:mentalidad_alfaseductora,profile,mentalidad_alfaseductora,,,,,,,,,
profile:anabarrosaudebeleza,profile,anabarrosaudebeleza,,,,,,,,,
profile:alambrito_mx,profile,alambrito_mx,1.0,,,,,,,,
profile:_cristopher_7_,profile,_cristopher_7_,,,,,,,,,
profile:unseductordice,profile,unseductordice,1.0,,,,,,,,
profile:librosmasculinidad,profile,librosmasculinidad,,,,,,,,,
profile:juego_social,profile,juego_social,,,,,,,,,
profile:expertoenamor83,profile,expertoenamor83,,,,,,,,,
profile:seductorsocial,profile,seductorsocial,,,,,,,,,
profile:calibracionsocial,profile,calibracionsocial,,,,,,,,,
profile:habi_lidadessociales,profile,habi_lidadessociales,,,,,,,,,
profile:hombre_indomito,profile,hombre_indomito,,,,,,,,,
profile:alfa_el_lobo,profile,alfa_el_lobo,,,,,,,,,
profile:temachero_10,profile,temachero_10,5.0,,,,,,,,
profile:antonio_elmultifacetico,profile,antonio_elmultifacetico,1.0,,,,,,,,
profile:sorvyon,profile,sorvyon,15.0,,,,,,,,
profile:warmode_alfas,profile,warmode_alfas,2.0,,,,,,,,
profile:focusmode.1,profile,focusmode.1,20.0,,,,,,,,
profile:andersonfabian.henaomantilla.7,profile,andersonfabian.henaomantilla.7,26.0,,,,,,,,
profile:eltemach_1325,profile,eltemach_1325,11.0,,,,,,,,
profile:carlosivancb19,profile,carlosivancb19,12.0,,,,,,,,
profile:adiazinfanted,profile,adiazinfanted,1.0,,,,,,,,
profile:hombresinocentes,profile,hombresinocentes,13.0,,,,,,,,
profile:juanburelomonje,profile,juanburelomonje,,,,,,,,,
profile:volteaparaquegoces,profile,volteaparaquegoces,,,,,,,,,
profile:germaynjose,profile,germaynjose,,,,,,,,,
profile:don_gordo_omar,profile,don_gordo_omar,,,,,,,,,
profile:elacamperojo.cba,profile,elacamperojo.cba,,,,,,,,,
profile:relatos_de_un_maltratador,profile,relatos_de_un_maltratador,1.0,,,,,,,,
profile:jackiecalabres,profile,jackiecalabres,,,,,,,,,
profile:vallenato_en_la_capital,profile,vallenato_en_la_capital,1.0,,,,,,,,
profile:mike_phoenix,profile,mike_phoenix,,,,,,,,,
profile:claudia_conde87,profile,claudia_conde87,,,,,,,,,
profile:sigue_al_conejo_b,profile,sigue_al_conejo_b,1.0,,,,,,,,
profile:elcalvitoreyes,profile,elcalvitoreyes,,,,,,,,,
profile:padres_con_derechochile,profile,padres_con_derechochile,,,,,,,,,
profile:spain_can_do_better,profile,spain_can_do_better,,,,,,,,,
profile:metodopantera,profile,metodopantera,,,,,,,,,
user:memichmyself,user,memichmyself,,8.0,,,,,,,
user:bailando.con.demonios,user,bailando.con.demonios,,7.0,,,,,,,
user:clau_888333,user,clau_888333,,7.0,,,,,,,
user:fedeartegroso,user,fedeartegroso,,5.0,,,,,,,
user:mariaelisa9053,user,mariaelisa9053,,4.0,,,,,,,
user:pavlovshapes,user,pavlovshapes,,4.0,,,,,,,
user:elperroimpar,user,elperroimpar,,3.0,,,,,,,
user:_the_real_m,user,_the_real_m,,3.0,,,,,,,
user:carla_iuk211,user,carla_iuk211,,3.0,,,,,,,
user:desika2000,user,desika2000,,3.0,,,,,,,
user:luismatra,user,luismatra,,3.0,,,,,,,
user:sil_gome454,user,sil_gome454,,3.0,,,,,,,
user:abl71,user,abl71,,3.0,,,,,,,
user:marcelo.carbo,user,marcelo.carbo,,3.0,,,,,,,
user:kristiansenlisbethirene,user,kristiansenlisbethirene,,3.0,,,,,,,
user:soydelturo,user,soydelturo,,3.0,,,,,,,
user:bocum_dei,user,bocum_dei,,2.0,,,,,,,
user:gorgiocomunica5,user,gorgiocomunica5,,2.0,,,,,,,
user:stellacba,user,stellacba,,2.0,,,,,,,
user:joel981556,user,joel981556,,2.0,,,,,,,
user:pey_duran,user,pey_duran,,2.0,,,,,,,
user:electromaga.25,user,electromaga.25,,2.0,,,,,,,
user:firsakova.lena,user,firsakova.lena,,2.0,,,,,,,
user:jona.barroco,user,jona.barroco,,2.0,,,,,,,
user:anlle27,user,anlle27,,2.0,,,,,,,
user:sexwar2030,user,sexwar2030,,2.0,,,,,,,
user:adrian_ortizz99,user,adrian_ortizz99,,2.0,,,,,,,
user:raceyourlife99,user,raceyourlife99,,2.0,,,,,,,
user:lafilosofiaredpill,user,lafilosofiaredpill,,2.0,,,,,,,
user:robet_drade,user,robet_drade,,2.0,,,,,,,
user:menacemc.5,user,menacemc.5,,2.0,,,,,,,
user:daku.bh,user,daku.bh,,2.0,,,,,,,
user:superjuv.mx,user,superjuv.mx,,2.0,,,,,,,
user:myohhmx,user,myohhmx,,2.0,,,,,,,
user:daleclickrd,user,daleclickrd,,2.0,,,,,,,
user:viktor.cavs,user,viktor.cavs,,2.0,,,,,,,
user:fabimar125,user,fabimar125,,2.0,,,,,,,
user:dw_zamora,user,dw_zamora,,2.0,,,,,,,
user:veganeko910,user,veganeko910,,2.0,,,,,,,
user:lidi_a6290,user,lidi_a6290,,2.0,,,,,,,
user:joseanibero,user,joseanibero,,2.0,,,,,,,
user:caniva_68,user,caniva_68,,2.0,,,,,,,
user:desiree_339,user,desiree_339,,2.0,,,,,,,
user:pab_chonchito,user,pab_chonchito,,2.0,,,,,,,
user:gigioventurelli,user,gigioventurelli,,2.0,,,,,,,
user:manupreciado,user,manupreciado,,2.0,,,,,,,
user:joseangel.lopezmartinez.752,user,joseangel.lopezmartinez.752,,2.0,,,,,,,
user:citlalyy.0_,user,citlalyy.0_,,2.0,,,,,,,
user:inmag_c,user,inmag_c,,2.0,,,,,,,
