group,n_comments,positive,negative,neutral,positive_pct,negative_pct,neutral_pct,mean_polarity,polarization_index
0,32,7,11,14,21.9,34.4,43.8,-0.148,0.562
1,15,11,1,3,73.3,6.7,20.0,0.635,0.8
10,46,13,9,24,28.3,19.6,52.2,0.083,0.478
11,106,22,20,64,20.8,18.9,60.4,0.025,0.396
12,71,34,8,29,47.9,11.3,40.8,0.321,0.592
13,31,8,7,16,25.8,22.6,51.6,0.041,0.484
14,74,15,25,34,20.3,33.8,45.9,-0.137,0.541
15,21,4,8,9,19.0,38.1,42.9,-0.258,0.571
16,21,9,3,9,42.9,14.3,42.9,0.265,0.571
17,32,5,6,21,15.6,18.8,65.6,-0.049,0.344
18,39,16,8,15,41.0,20.5,38.5,0.183,0.615
19,333,104,54,175,31.2,16.2,52.6,0.116,0.474
2,44,12,10,22,27.3,22.7,50.0,-0.02,0.5
3,20,4,4,12,20.0,20.0,60.0,0.006,0.4
4,37,22,3,12,59.5,8.1,32.4,0.511,0.676
5,50,11,12,27,22.0,24.0,54.0,-0.043,0.46
6,60,16,16,28,26.7,26.7,46.7,0.01,0.533
7,89,34,23,32,38.2,25.8,36.0,0.112,0.64
8,55,14,14,27,25.5,25.5,49.1,-0.008,0.509
9,30,9,8,13,30.0,26.7,43.3,0.008,0.567
