cluster_id,narrative_label,discourse_category_id,discourse_category_label,n_comments,top_terms,representative_comments,top_profiles,sentiment_positive_pct,sentiment_negative_pct,sentiment_neutral_pct,mean_polarity,polarization_index
0,narrativa_0,,,10,libro; casos; buen; enhorabuena; genial; importantes; super; pues; fisica; temas; solos; ninos,"Muy interasente todo lo que aporta este libro tanto para pequeños como mayores, nunca es suficiente el conocimiento y la prudencia en estos casos 👏 || Que buen libro para fomentar la lectura || Oye pues este libro creo que estaría genial en las lecturas del cole👏",; telefecordoba; eldocetv,40.0,10.0,50.0,0.3,0.5
1,narrativa_1,,,39,violencia; violencia genero; genero; entonces; mujeres; vez; judicial; institucional; violencia institucional; ejercen; derecho; machista,"Tan normal esa violencia que ya ni la sienten || @igualdadgob @poderjudiciales esto no es inevitable, es violencia sostenida por vosotros || Hasta cuando se permite que nos re victimicen  Violencia es violencia y no se debe permitir más",; eldestapeweb; eldocetv,20.5,66.7,12.8,-0.509,0.872
2,narrativa_2,,,21,bueno; clase; vez; mujer; eres; pantallas; tipo; foto; pais; aun; hermosa; china,"Que bueno que en otro pais sepan que clase de hombre es ese %@^#&@*#: y mejor aun que sepan lo fuerte que eres, no es la primera vez que este tipo hace eso, salio ahora en las noticias, y que bueno po || Y bueno la que puede puede... con lo hermosa que es la China hasta yo caigo 🤭🤭 || Oyeeee la mujer que no gime duro en esa pose es porque no la siente ta bueno ya!!!😂😂😂",; enriquesantosshow; elchorrillerosl; eldocetv,33.3,14.3,52.4,0.137,0.476
3,narrativa_3,,,13,tengan; trabajo; espero; buen; sigo; buen trabajo; esperando; pronto; unas; mejor trabajo; dias; mejor,"Sigo esperando respuesta espero que tengan tiempo pronto, un abrazo buen trabajo. || No lloren por lo que hacen! Tengan  responsabilidad  y sin drama! La próxima vez hagan mejor trabajo y no serán un chiste ✌🏼 || Está muy bueno ese docu. Theroux siempre hace muy buen trabajo",; tu949fm,38.5,15.4,46.2,0.195,0.538
4,narrativa_4,,,24,mujeres; acuerdo; victimas; esten; seguro; mujeres asesinadas; horror; asesinadas; peor; voz; igual; disenado,"A las mujeres que estén de acuerdo con esto, las llamaremos “tibias” 🫢 || No más cuestionamientos a las mujeres que hemos sido victimas || @24hoss_ seguro q acosas mujeres en el lol",; enriquesantosshow; telefecordoba,16.7,16.7,66.7,-0.026,0.333
5,narrativa_5,,,12,rinon; creo; cosita; rinon cosita; dandole; jajajaja; entonces; dar; gusto; querida; devolver; onvre,En un riñón con esa cosita ???? No creo || En un riñón con esa cosita? 😂😂😂😂 Novata || 😂😂😂con q ping le va a dar en el riñón 😂,enriquesantosshow; ,16.7,25.0,58.3,-0.083,0.417
6,narrativa_6,,,22,mal; menos; muerte; persona; nota; poder; noticia; menos mal; anos; lastima; fuerza; mismo,"Con esas faltas de la era prehistórica se nota que es una persona además de ignorante de un muy mal ❤️. || La violencia es el “uso intencional de la fuerza física o el poder real o como amenaza contra uno mismo, una persona, grupo o comunidad que tiene como resultado la probabilidad de daño psicológico, le || Como se nota que me levantado temprano que mal escrito lo de arriba ja ja ja",; kymo73; enriquesantosshow; tu949fm; eldocetv,18.2,45.5,36.4,-0.211,0.636
7,narrativa_7,,,11,sirve; aunque; mujeres; han; triste; cosas; imagenes; plata; discurso; hermoso; cero; tienes,"Lo más triste, las mujeres son también parte del discurso contra otras mujeres. Será antiguo, pero en esta época sirve más que nunca. Un lugar hermoso, si no quieres que se contamine lo cuidas como un || 1 de 5??? A quien no le han dicho en un Lobby del COD o en una camara de muerte “Me F0ll0 a tu madre” o cosas peores??  En el COD o en otros shooters, si eres chica no puedes abrir la boca ni decir na || se han dado cuenta que las mujeres conocemos casos de amistades, familiares o círculo cercano en el cual han sufrido abuso, maltrato pero un hombre me refiero a un ""onvre"" jamás ninguno de sus amigos ",; sandro_sensei; telefecordoba,18.2,36.4,45.5,-0.076,0.545
8,narrativa_8,,,8,mundo; gente; mundo gente; cosas; adolescentes; ganar; lee; valores; ayudar; hombres; tenido; termine,"nera ele q ia processar todo mundo que falasse q ele estava sendo misógino??? 😂😂😂 || 👏👏👏 que el mundo entero conozca a nuestra Carmen Q || El mundo en decadencia. En qué momento pasaron en darle foco a cosas importantes que pasan en el mundo, y la gente debate sobre la sexualidad de otras personas. Dios ven rápido",; sandro_sensei; enriquesantosshow,50.0,25.0,25.0,0.25,0.75
9,narrativa_9,,,6,hermana; disfruta; bebe; escuche; mejores; pronto; seguro; queremos; eres; come; podria; aun asi,"Hermana, disfruta muchooo y que se escuche #LeyOlimpia ¡come rico y bebe mucho! 🥰 || Las mejores vibras hermana. Que las diosas te cuiden y te guíen siempre.❤️❤️❤️. || Lobaaaaa!! ✨💜 Que admirable eres, hermana. Te queremos :)",,83.3,0.0,16.7,0.781,0.833
