source,target,edge_type,weight
hashtag:abusosexualdigital,hashtag:colombia,hashtag_cooccurrence,1
hashtag:abusosexualdigital,hashtag:infanciasseguras,hashtag_cooccurrence,1
hashtag:abusosexualdigital,hashtag:noeshoradecallar,hashtag_cooccurrence,1
hashtag:abusosexualdigital,hashtag:protecci,hashtag_cooccurrence,3
hashtag:abusosexualdigital,hashtag:violenciadigital,hashtag_cooccurrence,2
hashtag:abusosexualdigital,hashtag:violenciasexual,hashtag_cooccurrence,2
hashtag:colombia,hashtag:infanciasseguras,hashtag_cooccurrence,1
hashtag:colombia,hashtag:noeshoradecallar,hashtag_cooccurrence,1
hashtag:colombia,hashtag:protecci,hashtag_cooccurrence,1
hashtag:colombia,hashtag:violenciadigital,hashtag_cooccurrence,1
hashtag:colombia,hashtag:violenciasexual,hashtag_cooccurrence,1
hashtag:infanciasseguras,hashtag:noeshoradecallar,hashtag_cooccurrence,1
hashtag:infanciasseguras,hashtag:protecci,hashtag_cooccurrence,1
hashtag:infanciasseguras,hashtag:violenciadigital,hashtag_cooccurrence,2
hashtag:infanciasseguras,hashtag:violenciasexual,hashtag_cooccurrence,1
hashtag:noeshoradecallar,hashtag:protecci,hashtag_cooccurrence,1
hashtag:noeshoradecallar,hashtag:violenciadigital,hashtag_cooccurrence,1
hashtag:noeshoradecallar,hashtag:violenciasexual,hashtag_cooccurrence,1
hashtag:protecci,hashtag:violenciadigital,hashtag_cooccurrence,8
hashtag:protecci,hashtag:violenciasexual,hashtag_cooccurrence,2
hashtag:violenciadigital,hashtag:violenciasexual,hashtag_cooccurrence,2
hashtag:abusosexualdigital,hashtag:confiar,hashtag_cooccurrence,1
hashtag:abusosexualdigital,hashtag:congresoefta,hashtag_cooccurrence,1
hashtag:abusosexualdigital,hashtag:gisselaecheverr,hashtag_cooccurrence,1
hashtag:abusosexualdigital,hashtag:mujeresqueinspiran,hashtag_cooccurrence,1
hashtag:abusosexualdigital,hashtag:reflexi,hashtag_cooccurrence,1
hashtag:abusosexualdigital,hashtag:relates,hashtag_cooccurrence,1
hashtag:abusosexualdigital,hashtag:soltarelcontrol,hashtag_cooccurrence,1
hashtag:abusosexualdigital,hashtag:terapiasist,hashtag_cooccurrence,1
hashtag:confiar,hashtag:congresoefta,hashtag_cooccurrence,1
hashtag:confiar,hashtag:gisselaecheverr,hashtag_cooccurrence,1
hashtag:confiar,hashtag:mujeresqueinspiran,hashtag_cooccurrence,1
hashtag:confiar,hashtag:reflexi,hashtag_cooccurrence,1
hashtag:confiar,hashtag:relates,hashtag_cooccurrence,1
hashtag:confiar,hashtag:soltarelcontrol,hashtag_cooccurrence,1
hashtag:confiar,hashtag:terapiasist,hashtag_cooccurrence,1
hashtag:congresoefta,hashtag:gisselaecheverr,hashtag_cooccurrence,1
hashtag:congresoefta,hashtag:mujeresqueinspiran,hashtag_cooccurrence,1
hashtag:congresoefta,hashtag:reflexi,hashtag_cooccurrence,1
hashtag:congresoefta,hashtag:relates,hashtag_cooccurrence,1
hashtag:congresoefta,hashtag:soltarelcontrol,hashtag_cooccurrence,1
hashtag:congresoefta,hashtag:terapiasist,hashtag_cooccurrence,1
hashtag:gisselaecheverr,hashtag:mujeresqueinspiran,hashtag_cooccurrence,1
hashtag:gisselaecheverr,hashtag:reflexi,hashtag_cooccurrence,1
hashtag:gisselaecheverr,hashtag:relates,hashtag_cooccurrence,1
hashtag:gisselaecheverr,hashtag:soltarelcontrol,hashtag_cooccurrence,1
