source,target,edge_type,weight
user:87.039695,narrative:narrativa_0,user_narrative,1.0
user:ceciprudh,narrative:narrativa_0,user_narrative,1.0
user:potoppitta,narrative:narrativa_0,user_narrative,1.0
user:viajandoaotrosmundos,narrative:narrativa_0,user_narrative,1.0
user:cronicadelibros,narrative:narrativa_0,user_narrative,1.0
user:aliciavozme,narrative:narrativa_0,user_narrative,1.0
user:librossinmiedo,narrative:narrativa_0,user_narrative,1.0
user:elnicacho,narrative:narrativa_0,user_narrative,1.0
user:octa_salvat,narrative:narrativa_0,user_narrative,1.0
user:ariellascanocm,narrative:narrativa_0,user_narrative,1.0
profile:telefecordoba,narrative:narrativa_0,profile_narrative,1.0
profile:eldocetv,narrative:narrativa_0,profile_narrative,1.0
user:maovar_col,narrative:narrativa_1,user_narrative,1.0
user:liaherradar.art,narrative:narrativa_1,user_narrative,1.0
user:alitaleja,narrative:narrativa_1,user_narrative,1.0
user:bastianvela,narrative:narrativa_1,user_narrative,1.0
user:blanca_angulo_hdez,narrative:narrativa_1,user_narrative,1.0
user:pajaro_pi,narrative:narrativa_1,user_narrative,1.0
user:sofiadq20,narrative:narrativa_1,user_narrative,1.0
user:valelin.paz,narrative:narrativa_1,user_narrative,1.0
user:no_soy_pozadas12345,narrative:narrativa_1,user_narrative,1.0
user:eduardo.somosnomadas,narrative:narrativa_1,user_narrative,1.0
user:oscarrafaelortega,narrative:narrativa_1,user_narrative,1.0
user:ivann_gr7,narrative:narrativa_1,user_narrative,1.0
user:cuttyflam2023,narrative:narrativa_1,user_narrative,1.0
user:elmaltrato_silencioso,narrative:narrativa_1,user_narrative,1.0
user:isaten3005,narrative:narrativa_1,user_narrative,1.0
user:chinebelda,narrative:narrativa_1,user_narrative,1.0
user:pupivivanco,narrative:narrativa_1,user_narrative,1.0
user:javieraklein,narrative:narrativa_1,user_narrative,1.0
user:elimar19,narrative:narrativa_1,user_narrative,1.0
user:vibarga,narrative:narrativa_1,user_narrative,1.0
user:talia_guerrera,narrative:narrativa_1,user_narrative,1.0
user:madresprotectorasmadrid,narrative:narrativa_1,user_narrative,3.0
user:carmen_blanco_cabirta,narrative:narrativa_1,user_narrative,1.0
user:sweet_marie156,narrative:narrativa_1,user_narrative,1.0
user:una_estrellaenmiventana,narrative:narrativa_1,user_narrative,1.0
user:javfenix,narrative:narrativa_1,user_narrative,1.0
user:lali9430,narrative:narrativa_1,user_narrative,1.0
user:dominguez_tomashernan.art3,narrative:narrativa_1,user_narrative,1.0
user:un_laburante_mas,narrative:narrativa_1,user_narrative,1.0
user:alb40677,narrative:narrativa_1,user_narrative,1.0
user:madres_protectoras_laplata,narrative:narrativa_1,user_narrative,2.0
user:madresprotectorasdebarcelona,narrative:narrativa_1,user_narrative,1.0
user:brenduskimamani,narrative:narrativa_1,user_narrative,1.0
user:meugesansone,narrative:narrativa_1,user_narrative,1.0
user:1993fernanvillena,narrative:narrativa_1,user_narrative,1.0
user:cruzcid27,narrative:narrativa_1,user_narrative,1.0
profile:eldestapeweb,narrative:narrativa_1,profile_narrative,1.0
profile:eldocetv,narrative:narrativa_1,profile_narrative,1.0
user:__estefy_y,narrative:narrativa_10,user_narrative,1.0
user:joha_m32,narrative:narrativa_10,user_narrative,1.0
user:expi.ral,narrative:narrativa_10,user_narrative,1.0
user:margaritahcabrera,narrative:narrativa_10,user_narrative,1.0
user:nas.julin,narrative:narrativa_10,user_narrative,1.0
user:rominapaganiniok,narrative:narrativa_10,user_narrative,1.0
user:decac19,narrative:narrativa_10,user_narrative,1.0
user:flavia_fernandez_gamba_,narrative:narrativa_10,user_narrative,1.0
user:nataliaelizabethl,narrative:narrativa_10,user_narrative,1.0
user:shey.vallejo,narrative:narrativa_10,user_narrative,1.0
user:cash_hito,narrative:narrativa_10,user_narrative,1.0
user:by_crisbernal,narrative:narrativa_10,user_narrative,1.0
user:dreamingofmimibooks,narrative:narrativa_10,user_narrative,1.0
user:sor082025,narrative:narrativa_10,user_narrative,1.0
user:marinela182018,narrative:narrativa_10,user_narrative,1.0
user:anaperrello,narrative:narrativa_10,user_narrative,1.0
user:tonysalvarenga,narrative:narrativa_10,user_narrative,1.0
user:sol._h.c,narrative:narrativa_10,user_narrative,1.0
user:mirna.acuna.969,narrative:narrativa_10,user_narrative,1.0
user:cabral.cabral.397,narrative:narrativa_10,user_narrative,1.0
user:albi79276,narrative:narrativa_10,user_narrative,1.0
user:carmendelcampoarroyo,narrative:narrativa_10,user_narrative,1.0
user:unicorn_rider91,narrative:narrativa_10,user_narrative,1.0
user:mamadetres_different,narrative:narrativa_10,user_narrative,1.0
user:arebarbara09,narrative:narrativa_10,user_narrative,1.0
profile:elespectador,narrative:narrativa_10,profile_narrative,1.0
profile:elintransigente,narrative:narrativa_10,profile_narrative,2.0
user:johanaelizabethayalapereira,narrative:narrativa_11,user_narrative,1.0
user:rosalia87romero,narrative:narrativa_11,user_narrative,1.0
user:npingrid,narrative:narrativa_11,user_narrative,1.0
user:lauu.camaro89,narrative:narrativa_11,user_narrative,1.0
user:drfedefit,narrative:narrativa_11,user_narrative,1.0
user:lost_auslander,narrative:narrativa_11,user_narrative,1.0
user:omarandresceliz,narrative:narrativa_11,user_narrative,2.0
user:llavachef,narrative:narrativa_11,user_narrative,1.0
user:soriacarmen15,narrative:narrativa_11,user_narrative,1.0
user:madresprotectorasdebarcelona,narrative:narrativa_11,user_narrative,1.0
user:luciayellow,narrative:narrativa_11,user_narrative,1.0
