graph_type,node,degree,in_degree,out_degree,betweenness,eigenvector,community
hashtags,hashtag:016,8.0,,,0.0,0.005231106166224963,19
hashtags,hashtag:0c,3.0,,,0.0,0.003949689924963147,0
hashtags,hashtag:100percentauthentic,17.0,,,0.0,1.182208610286849e-05,4
hashtags,hashtag:13ngrooming,3.0,,,0.0,0.0005461306686053163,0
hashtags,hashtag:165,4.0,,,0.0,0.0019035034540560002,34
hashtags,hashtag:16daysofactivism,4.0,,,1.366323634690745e-05,0.004832890842519417,1
hashtags,hashtag:16diasdeactivismo,4.0,,,0.0,0.00320096920938547,1
hashtags,hashtag:16días,3.0,,,0.0,0.0003184876442652057,0
hashtags,hashtag:21dejunio,12.0,,,0.0,0.010660579528773936,0
hashtags,hashtag:247,2.0,,,0.0,8.884819211505787e-06,4
hashtags,hashtag:25n,132.0,,,0.00942647798769334,0.07480689022627779,1
hashtags,hashtag:25n2022,7.0,,,0.0,0.002337713125338401,1
hashtags,hashtag:25nov,27.0,,,0.0,0.028984605794745894,1
hashtags,hashtag:25novembre,27.0,,,0.0,0.028984605794745894,1
hashtags,hashtag:25noviembre,12.0,,,0.0,0.011185245010416862,1
hashtags,hashtag:25noviembrediainternacionalcontralaviolenciadegenero,27.0,,,0.0,0.028984605794745894,1
hashtags,hashtag:2demayo,28.0,,,0.0,0.029835678665037977,1
hashtags,hashtag:2demayod,28.0,,,0.0,0.029835678665037977,1
hashtags,hashtag:3eso,6.0,,,0.0,0.003297832796298102,40
hashtags,hashtag:3j,4.0,,,0.0,0.005257081175777459,1
hashtags,hashtag:4eso,6.0,,,0.0,0.003297832796298102,40
hashtags,hashtag:5000voltios,4.0,,,0.0,0.007375831013039453,0
hashtags,hashtag:7digitalservices,8.0,,,0.0,0.001302342204254991,4
hashtags,hashtag:8cplus,7.0,,,0.0,0.0011392890311321712,33
hashtags,hashtag:8m,86.0,,,0.0020836927117736936,0.07264369636149055,1
hashtags,hashtag:8marzo,30.0,,,4.2978779264658086e-05,0.03553270468351654,1
hashtags,hashtag:8mnonosvamos,2.0,,,0.0,0.0011808810301274072,0
hashtags,hashtag:abcxyz,26.0,,,0.0,0.009018939328769739,3
hashtags,hashtag:aberastain,4.0,,,0.0,0.004275238560629517,0
hashtags,hashtag:abogac,22.0,,,0.0,0.009172007898312677,3
hashtags,hashtag:abogacia,15.0,,,0.0,0.020868608137238637,0
hashtags,hashtag:abogada,10.0,,,0.00011820617875405305,0.00704468565660748,3
hashtags,hashtag:abogadadefamilia,7.0,,,0.0,0.002981455231235731,3
hashtags,hashtag:abogadaenle,6.0,,,0.0,0.0051298897869445,0
hashtags,hashtag:abogadageneralista,6.0,,,0.0,0.0051298897869445,0
hashtags,hashtag:abogadapatagonia,8.0,,,0.0,0.008437063587299422,3
hashtags,hashtag:abogadapenalista,7.0,,,3.888650925259678e-05,0.010495280925244833,3
hashtags,hashtag:abogado,54.0,,,0.0016504933024840468,0.022797126663185962,3
hashtags,hashtag:abogadobadajoz,28.0,,,0.0,0.01224195895264163,3
hashtags,hashtag:abogadoespaña,28.0,,,0.0,0.01224195895264163,3
hashtags,hashtag:abogadoextremadura,28.0,,,0.0,0.01224195895264163,3
hashtags,hashtag:abogadomerida,28.0,,,0.0,0.01224195895264163,3
hashtags,hashtag:abogadopenalista,42.0,,,0.0007097547924317886,0.017056142671143436,3
hashtags,hashtag:abogadopol,26.0,,,0.0,0.008831493342327261,6
hashtags,hashtag:abogados,64.0,,,0.0011552647703431183,0.025871859746879826,3
hashtags,hashtag:abogadosbarcelona,14.0,,,0.0,0.01683972436420742,0
hashtags,hashtag:abogadosenposadas,6.0,,,0.0,0.006010855274945758,0
hashtags,hashtag:abogadosenredes,15.0,,,0.0,0.013320220725961328,0
hashtags,hashtag:abogadosespa,9.0,,,0.0,0.00951012041570791,0
hashtags,hashtag:abogadoslima,8.0,,,0.0,0.006411057288442382,0
hashtags,hashtag:abogadosmonfortgiordana,9.0,,,9.472936658880274e-06,0.009893778501256677,0
hashtags,hashtag:abogadosmorefarge,22.0,,,0.0,0.009172007898312677,3
hashtags,hashtag:abogadosneuqu,10.0,,,0.0,0.011932660530977654,0
hashtags,hashtag:abogadospenalistas,14.0,,,0.0,0.01683972436420742,0
hashtags,hashtag:abolici,4.0,,,0.0,0.005058382641912714,1
hashtags,hashtag:abolicionistascantabria,7.0,,,0.0,0.005868313382814642,8
hashtags,hashtag:abuso,36.0,,,0.00025930298272209857,0.038933348568481935,0
hashtags,hashtag:abusoanimal,22.0,,,0.0,0.011477096324740725,9
hashtags,hashtag:abusodeautoridad,15.0,,,0.0,0.0021027158387134383,3
hashtags,hashtag:abusodepoder,5.0,,,0.0,0.002942316764315772,3
hashtags,hashtag:abusodigital,14.0,,,0.0,0.012563499815051641,0
hashtags,hashtag:abusoenlinea,18.0,,,0.0,0.016931411246077683,0
hashtags,hashtag:abusoinfantil,8.0,,,0.0,0.002532902741538098,5
hashtags,hashtag:abusos,26.0,,,0.0,0.009018939328769739,3
hashtags,hashtag:abusosexual,17.0,,,0.001268610817130883,0.008652064285541885,1
hashtags,hashtag:abusosexualdemenores,4.0,,,0.0,0.0035040172102253804,1
hashtags,hashtag:abusosexualdigital,81.0,,,0.01847450831046025,0.0324433969649213,0
hashtags,hashtag:accesibilidadreal,12.0,,,0.0,0.007695296566168931,1
hashtags,hashtag:accesoalajusticia,4.0,,,0.0,0.006196218925168137,2
hashtags,hashtag:acci,3.0,,,0.0,0.006191600578724957,2
hashtags,hashtag:accountability,7.0,,,0.0,0.0011803431717343903,4
