node_id,node_type,label,comment_volume_on_posts,comment_count,cluster_id,discourse_category_id,discourse_category_label,n_comments,top_terms,post_count,sourced_posts
profile:jeyzetaoficial,profile,jeyzetaoficial,,,,,,,,,
profile:descifrandoaleon,profile,descifrandoaleon,,,,,,,,,
profile:somosmep,profile,somosmep,,,,,,,,,
profile:virtusacri,profile,virtusacri,,,,,,,,,
profile:t.a.m.m.acri,profile,t.a.m.m.acri,,,,,,,,,
profile:genticorg,profile,genticorg,,,,,,,,,
profile:natalia.escribe,profile,natalia.escribe,,,,,,,,,
profile:kymo73,profile,kymo73,1.0,,,,,,,,
profile:fundacionorb,profile,fundacionorb,,,,,,,,,
profile:amaranto_terapia_ocupacional,profile,amaranto_terapia_ocupacional,,,,,,,,,
profile:sandro_sensei,profile,sandro_sensei,4.0,,,,,,,,
profile:leire_ibanezdegauna,profile,leire_ibanezdegauna,,,,,,,,,
profile:delbarreto19,profile,delbarreto19,,,,,,,,,
profile:enriquesantosshow,profile,enriquesantosshow,23.0,,,,,,,,
profile:elchorrillerosl,profile,elchorrillerosl,2.0,,,,,,,,
profile:el_resaltador,profile,el_resaltador,1.0,,,,,,,,
profile:elnorte,profile,elnorte,,,,,,,,,
profile:eldestapeweb,profile,eldestapeweb,2.0,,,,,,,,
profile:ciberespaciojuridico,profile,ciberespaciojuridico,,,,,,,,,
profile:ajplusespanol,profile,ajplusespanol,1.0,,,,,,,,
profile:feminicidio_net,profile,feminicidio_net,,,,,,,,,
profile:elespectador,profile,elespectador,6.0,,,,,,,,
profile:radionatagala,profile,radionatagala,,,,,,,,,
profile:telefecordoba,profile,telefecordoba,9.0,,,,,,,,
profile:lamanuc,profile,lamanuc,,,,,,,,,
profile:eldialp,profile,eldialp,1.0,,,,,,,,
profile:tu949fm,profile,tu949fm,10.0,,,,,,,,
profile:eldocetv,profile,eldocetv,13.0,,,,,,,,
profile:elintransigente,profile,elintransigente,5.0,,,,,,,,
profile:hartasmujeres,profile,hartasmujeres,1.0,,,,,,,,
profile:doctacompliance,profile,doctacompliance,,,,,,,,,
profile:garciawindsorlaw,profile,garciawindsorlaw,,,,,,,,,
profile:respuestasexual,profile,respuestasexual,,,,,,,,,
profile:kasperskyes,profile,kasperskyes,,,,,,,,,
profile:cumbres_abogados,profile,cumbres_abogados,,,,,,,,,
user:madresprotectorasmadrid,user,madresprotectorasmadrid,,7.0,,,,,,,
user:radfem_madrid,user,radfem_madrid,,5.0,,,,,,,
user:madres_protectoras_laplata,user,madres_protectoras_laplata,,4.0,,,,,,,
user:una_estrellaenmiventana,user,una_estrellaenmiventana,,3.0,,,,,,,
user:madresprotectorasdebarcelona,user,madresprotectorasdebarcelona,,3.0,,,,,,,
user:carlesbatlleniubo,user,carlesbatlleniubo,,2.0,,,,,,,
user:vgcosmeticapersonal,user,vgcosmeticapersonal,,2.0,,,,,,,
user:roxanncordoba9,user,roxanncordoba9,,2.0,,,,,,,
user:chilliheeler04,user,chilliheeler04,,2.0,,,,,,,
user:omarandresceliz,user,omarandresceliz,,2.0,,,,,,,
user:marcela_cortes777,user,marcela_cortes777,,2.0,,,,,,,
user:javieraklein,user,javieraklein,,2.0,,,,,,,
user:sweet_marie156,user,sweet_marie156,,2.0,,,,,,,
user:teresa.benjumea,user,teresa.benjumea,,2.0,,,,,,,
user:mor_rosamaria,user,mor_rosamaria,,2.0,,,,,,,
user:gairimarcano,user,gairimarcano,,1.0,,,,,,,
user:amparitochica_del_sombrero,user,amparitochica_del_sombrero,,1.0,,,,,,,
user:kellygimendezl,user,kellygimendezl,,1.0,,,,,,,
user:87.039695,user,87.039695,,1.0,,,,,,,
user:sergio.botero.artist,user,sergio.botero.artist,,1.0,,,,,,,
user:maovar_col,user,maovar_col,,1.0,,,,,,,
user:sidsteven_27,user,sidsteven_27,,1.0,,,,,,,
