group,n_comments,positive,negative,neutral,positive_pct,negative_pct,neutral_pct,mean_polarity,polarization_index
0,10,4,1,5,40.0,10.0,50.0,0.3,0.5
1,39,8,26,5,20.5,66.7,12.8,-0.509,0.872
10,25,6,6,13,24.0,24.0,52.0,0.004,0.48
11,13,2,2,9,15.4,15.4,69.2,-0.02,0.308
12,53,12,14,27,22.6,26.4,50.9,-0.063,0.491
13,19,5,6,8,26.3,31.6,42.1,-0.038,0.579
14,21,16,1,4,76.2,4.8,19.0,0.707,0.81
15,10,7,2,1,70.0,20.0,10.0,0.362,0.9
16,118,33,19,66,28.0,16.1,55.9,0.127,0.441
17,14,6,1,7,42.9,7.1,50.0,0.305,0.5
18,18,8,4,6,44.4,22.2,33.3,0.175,0.667
19,4,1,0,3,25.0,0.0,75.0,0.25,0.25
2,21,7,3,11,33.3,14.3,52.4,0.137,0.476
3,13,5,2,6,38.5,15.4,46.2,0.195,0.538
4,24,4,4,16,16.7,16.7,66.7,-0.026,0.333
5,12,2,3,7,16.7,25.0,58.3,-0.083,0.417
6,22,4,10,8,18.2,45.5,36.4,-0.211,0.636
7,11,2,4,5,18.2,36.4,45.5,-0.076,0.545
8,8,4,2,2,50.0,25.0,25.0,0.25,0.75
9,6,5,0,1,83.3,0.0,16.7,0.781,0.833
